id,shot_id,user_id,body,created_at
126,454,33,Love this! 🔥,2026-08-01 07:48:08
127,69,44,Can you share the process behind this?,2023-10-24 03:14:49
128,480,3,Clean and minimal. Perfect! ✨,2023-12-02 03:40:00
129,42,13,Great use of color and typography.,2025-01-07 22:59:44
130,225,7,The micro-interactions are so smooth!,2025-06-13 08:01:38
131,84,12,Love this! 🔥,2025-04-13 05:39:48
132,259,44,The micro-interactions are so smooth!,2026-04-02 19:43:24
133,5,4,Inspiring work! Would love to collaborate.,2023-12-05 11:43:10
134,122,37,Inspiring work! Would love to collaborate.,2023-05-06 17:04:38
135,309,29,The micro-interactions are so smooth!,2023-07-21 17:16:23
136,461,25,Can you share the process behind this?,2024-05-20 01:41:57
137,348,6,How did you achieve this effect?,2023-11-02 11:11:07
138,163,38,Can you share the process behind this?,2023-03-26 13:51:06
139,126,1,Clean and minimal. Perfect! ✨,2023-06-22 01:10:28
140,162,19,Clean and minimal. Perfect! ✨,2023-04-11 21:52:16
141,361,10,The micro-interactions are so smooth!,2026-08-10 09:45:43
142,7,23,How did you achieve this effect?,2024-06-28 09:07:25
143,278,35,Inspiring work! Would love to collaborate.,2025-04-18 19:06:46
144,225,17,How did you achieve this effect?,2024-12-17 09:12:16
145,314,15,Clean and minimal. Perfect! ✨,2026-08-30 01:22:55
146,463,10,Inspiring work! Would love to collaborate.,2024-05-22 02:01:33
147,3,7,Clean and minimal. Perfect! ✨,2023-06-15 04:24:15
148,418,36,The micro-interactions are so smooth!,2023-11-21 15:28:45
149,352,13,The micro-interactions are so smooth!,2023-07-24 11:54:45
150,188,16,Clean and minimal. Perfect! ✨,2025-10-30 07:32:30
151,138,21,Can you share the process behind this?,2024-06-01 06:56:19
152,67,6,Great use of color and typography.,2024-09-09 03:59:49
153,320,39,Clean and minimal. Perfect! ✨,2023-02-26 22:40:12
154,239,35,Great use of color and typography.,2023-06-07 18:28:29
155,301,35,Clean and minimal. Perfect! ✨,2024-06-28 14:11:20
156,164,41,The micro-interactions are so smooth!,2025-01-11 00:32:31
157,242,33,Great use of color and typography.,2025-12-09 05:49:39
158,421,2,Inspiring work! Would love to collaborate.,2024-05-24 07:00:41
159,460,38,Clean and minimal. Perfect! ✨,2023-04-29 07:55:58
160,296,46,Clean and minimal. Perfect! ✨,2023-05-22 11:33:59
161,226,8,Great use of color and typography.,2025-10-29 13:23:28
162,264,31,Clean and minimal. Perfect! ✨,2026-07-03 15:56:51
163,322,37,Can you share the process behind this?,2025-11-30 00:09:02
164,460,35,Great use of color and typography.,2023-06-27 22:23:08
165,272,45,How did you achieve this effect?,2023-05-24 01:40:27
166,58,9,Inspiring work! Would love to collaborate.,2026-01-07 19:49:24
167,93,38,Clean and minimal. Perfect! ✨,2023-05-10 20:21:02
168,129,11,Inspiring work! Would love to collaborate.,2026-09-19 06:42:35
169,241,49,Can you share the process behind this?,2024-07-27 07:16:54
170,291,42,Great use of color and typography.,2025-05-31 17:06:27
171,322,45,Inspiring work! Would love to collaborate.,2025-07-02 05:57:41
172,65,23,How did you achieve this effect?,2023-04-09 11:22:21
173,93,28,Clean and minimal. Perfect! ✨,2024-11-12 17:07:55
174,216,31,The micro-interactions are so smooth!,2023-02-13 14:59:48
175,453,4,The micro-interactions are so smooth!,2026-08-31 09:21:51
176,13,8,Inspiring work! Would love to collaborate.,2026-03-27 04:35:24
177,28,28,Inspiring work! Would love to collaborate.,2026-08-20 04:14:17
178,491,19,Great use of color and typography.,2026-08-02 13:43:36
179,69,31,Inspiring work! Would love to collaborate.,2024-10-24 17:47:04
180,381,1,The micro-interactions are so smooth!,2024-03-06 18:01:34
181,427,24,Clean and minimal. Perfect! ✨,2026-10-07 09:37:08
182,350,4,Love this! 🔥,2023-07-05 14:54:58
183,106,34,Great use of color and typography.,2026-11-08 00:23:24
184,352,44,Can you share the process behind this?,2024-09-27 17:04:51
185,255,6,The micro-interactions are so smooth!,2026-01-25 02:25:34
186,125,35,Inspiring work! Would love to collaborate.,2026-10-06 04:42:13
187,167,14,Can you share the process behind this?,2023-10-25 17:07:12
188,119,49,Love this! 🔥,2025-07-25 06:46:20
189,333,34,How did you achieve this effect?,2023-03-27 11:08:20
190,176,28,The micro-interactions are so smooth!,2023-02-18 02:23:51
191,151,35,How did you achieve this effect?,2026-10-17 21:14:34
192,432,19,Clean and minimal. Perfect! ✨,2023-07-09 10:50:04
193,152,16,Can you share the process behind this?,2026-10-27 23:57:16
194,233,38,How did you achieve this effect?,2025-08-27 19:34:54
195,361,14,Clean and minimal. Perfect! ✨,2026-10-07 12:47:56
196,434,11,Great use of color and typography.,2026-08-30 08:26:36
197,40,43,The micro-interactions are so smooth!,2024-04-20 01:11:01
198,416,36,Great use of color and typography.,2026-09-12 11:22:11
199,137,50,Inspiring work! Would love to collaborate.,2026-05-13 20:31:59
200,315,47,Great use of color and typography.,2023-02-09 15:54:37
201,91,32,Can you share the process behind this?,2026-08-25 19:42:51
202,198,11,Inspiring work! Would love to collaborate.,2025-01-08 22:43:40
203,498,20,The micro-interactions are so smooth!,2026-12-09 15:10:10
204,408,10,Great use of color and typography.,2026-04-22 18:11:45
205,490,26,Love this! 🔥,2026-10-17 01:19:54
206,226,39,Great use of color and typography.,2023-02-24 19:24:46
207,141,17,Inspiring work! Would love to collaborate.,2026-05-24 16:21:02
208,439,48,The micro-interactions are so smooth!,2025-02-13 17:07:43
209,17,45,The micro-interactions are so smooth!,2026-07-04 18:36:11
210,368,12,Can you share the process behind this?,2025-04-18 18:52:36
211,402,15,How did you achieve this effect?,2025-08-08 08:25:44
212,411,7,Great use of color and typography.,2023-01-29 07:46:34
213,393,47,The micro-interactions are so smooth!,2023-10-09 05:36:39
214,74,50,Great use of color and typography.,2024-02-17 00:24:11
215,183,5,Great use of color and typography.,2023-11-23 04:33:25
216,464,47,Great use of color and typography.,2024-12-18 13:39:30
217,302,26,Can you share the process behind this?,2023-02-04 03:17:11
218,93,46,Inspiring work! Would love to collaborate.,2023-08-03 11:36:40
219,450,19,Clean and minimal. Perfect! ✨,2025-08-06 22:54:50
220,305,28,Can you share the process behind this?,2026-07-03 21:05:10
221,439,19,Great use of color and typography.,2025-12-24 01:51:46
222,37,41,How did you achieve this effect?,2026-02-26 20:24:11
223,73,37,The micro-interactions are so smooth!,2023-12-06 10:33:35
224,146,49,Great use of color and typography.,2026-03-26 09:55:27
225,317,49,Clean and minimal. Perfect! ✨,2023-12-02 00:17:03
226,40,2,How did you achieve this effect?,2025-10-25 06:53:20
227,122,13,Love this! 🔥,2025-04-22 13:30:56
228,150,29,Can you share the process behind this?,2024-08-14 08:03:26
229,270,42,Clean and minimal. Perfect! ✨,2024-06-06 03:26:37
230,141,33,Inspiring work! Would love to collaborate.,2026-05-09 08:07:51
231,115,28,Love this! 🔥,2025-12-14 02:28:50
232,491,23,Great use of color and typography.,2025-10-02 01:40:37
233,105,23,How did you achieve this effect?,2025-03-12 14:27:27
234,126,25,The micro-interactions are so smooth!,2026-01-29 04:14:05
235,210,10,Love this! 🔥,2025-09-16 12:13:34
236,364,7,Clean and minimal. Perfect! ✨,2025-10-18 17:52:38
237,467,11,Love this! 🔥,2025-06-13 09:39:17
238,481,8,Love this! 🔥,2023-11-28 09:02:36
239,247,18,How did you achieve this effect?,2025-06-23 12:46:27
240,17,30,The micro-interactions are so smooth!,2023-05-26 18:55:32
241,97,12,Great use of color and typography.,2026-09-15 03:57:01
242,109,31,Inspiring work! Would love to collaborate.,2026-03-20 20:44:04
243,178,19,Love this! 🔥,2023-09-19 03:16:55
244,461,46,The micro-interactions are so smooth!,2023-06-24 05:53:15
245,354,8,Clean and minimal. Perfect! ✨,2024-08-24 00:04:31
246,447,36,How did you achieve this effect?,2024-11-10 04:40:59
247,318,43,Great use of color and typography.,2024-06-28 13:16:45
248,270,32,Love this! 🔥,2024-05-12 09:23:44
249,390,5,Love this! 🔥,2023-09-01 01:04:37
250,157,39,Love this! 🔥,2025-04-29 06:21:23
251,284,19,How did you achieve this effect?,2026-07-05 22:34:13
252,12,49,Clean and minimal. Perfect! ✨,2024-08-11 22:09:45
253,298,15,How did you achieve this effect?,2023-08-28 06:35:26
254,495,10,Love this! 🔥,2024-03-29 14:54:03
255,110,17,The micro-interactions are so smooth!,2024-08-19 00:43:21
256,438,50,Love this! 🔥,2023-07-31 11:09:09
257,348,6,Great use of color and typography.,2023-03-26 07:35:09
258,173,25,Clean and minimal. Perfect! ✨,2024-07-09 01:55:19
259,156,7,How did you achieve this effect?,2026-07-17 03:15:37
260,96,12,Inspiring work! Would love to collaborate.,2026-12-28 00:38:55
261,183,41,Love this! 🔥,2026-08-21 15:58:24
262,340,6,Clean and minimal. Perfect! ✨,2024-03-29 22:45:47
263,357,4,Inspiring work! Would love to collaborate.,2026-07-08 01:39:31
264,22,42,Inspiring work! Would love to collaborate.,2026-07-23 08:18:27
265,408,2,Inspiring work! Would love to collaborate.,2024-05-13 13:06:05
266,369,22,Can you share the process behind this?,2026-07-14 13:44:01
267,2,48,Can you share the process behind this?,2024-05-25 20:39:20
268,204,42,Great use of color and typography.,2026-10-07 22:50:03
269,209,43,Great use of color and typography.,2024-07-25 07:54:04
270,482,37,Can you share the process behind this?,2023-02-21 23:10:02
271,12,27,Can you share the process behind this?,2025-05-30 14:30:44
272,458,7,Clean and minimal. Perfect! ✨,2026-05-23 05:14:25
273,14,4,Love this! 🔥,2023-12-20 19:27:28
274,458,26,Love this! 🔥,2026-10-27 20:19:24
275,206,10,Inspiring work! Would love to collaborate.,2024-03-27 23:22:01
276,416,24,Love this! 🔥,2026-12-20 16:36:12
277,107,8,Clean and minimal. Perfect! ✨,2024-10-12 05:28:24
278,160,3,How did you achieve this effect?,2023-05-01 16:23:54
279,451,3,Love this! 🔥,2024-03-06 12:17:38
280,100,28,Inspiring work! Would love to collaborate.,2023-08-23 15:34:46
281,69,34,Great use of color and typography.,2025-04-29 00:11:22
282,453,1,Clean and minimal. Perfect! ✨,2024-09-30 15:54:52
283,166,20,How did you achieve this effect?,2026-10-24 06:59:29
284,180,23,Clean and minimal. Perfect! ✨,2025-09-29 11:48:57
285,461,23,Great use of color and typography.,2023-10-15 00:37:25
286,15,33,Great use of color and typography.,2024-02-20 19:57:52
287,281,47,Inspiring work! Would love to collaborate.,2025-05-24 19:07:57
288,45,29,Inspiring work! Would love to collaborate.,2024-12-31 03:04:27
289,328,22,The micro-interactions are so smooth!,2023-08-13 07:06:12
290,274,23,How did you achieve this effect?,2025-11-05 17:05:18
291,416,48,Great use of color and typography.,2025-03-31 08:28:16
292,142,11,Clean and minimal. Perfect! ✨,2026-11-22 15:20:18
293,370,5,Inspiring work! Would love to collaborate.,2024-07-05 23:35:31
294,340,47,The micro-interactions are so smooth!,2025-06-03 06:36:58
295,356,45,The micro-interactions are so smooth!,2026-01-14 16:34:13
296,306,22,How did you achieve this effect?,2026-05-19 22:37:33
297,468,31,Love this! 🔥,2023-07-18 22:52:56
298,377,49,How did you achieve this effect?,2026-07-19 23:48:01
299,230,25,Love this! 🔥,2024-07-23 21:59:58
300,73,40,Great use of color and typography.,2025-08-29 13:00:01
301,469,26,Can you share the process behind this?,2025-07-13 07:11:33
302,143,43,Love this! 🔥,2023-08-29 16:45:39
303,77,8,Clean and minimal. Perfect! ✨,2025-09-29 02:29:52
304,468,38,Love this! 🔥,2023-05-07 02:45:40
305,452,39,How did you achieve this effect?,2024-07-26 21:23:36
306,50,28,Inspiring work! Would love to collaborate.,2026-02-06 07:58:55
307,293,8,Clean and minimal. Perfect! ✨,2026-04-04 11:39:09
308,242,19,Love this! 🔥,2023-03-11 00:29:04
309,31,27,Clean and minimal. Perfect! ✨,2023-08-02 07:46:39
310,471,17,Clean and minimal. Perfect! ✨,2023-11-26 20:45:03
311,73,42,How did you achieve this effect?,2026-12-28 20:50:57
312,326,48,Great use of color and typography.,2023-05-02 21:25:32
313,324,34,Clean and minimal. Perfect! ✨,2025-11-22 01:30:41
314,60,2,Can you share the process behind this?,2023-07-17 03:53:58
315,365,40,Clean and minimal. Perfect! ✨,2025-12-17 21:30:37
316,366,18,Great use of color and typography.,2024-04-26 21:05:46
317,361,46,Clean and minimal. Perfect! ✨,2023-11-11 08:20:10
318,397,4,Inspiring work! Would love to collaborate.,2024-11-16 12:42:56
319,295,21,The micro-interactions are so smooth!,2025-11-13 05:58:38
320,244,1,Great use of color and typography.,2023-06-02 05:53:43
321,61,49,Great use of color and typography.,2024-01-08 03:08:18
322,210,34,The micro-interactions are so smooth!,2023-06-21 08:02:45
323,489,4,Love this! 🔥,2025-11-07 22:46:24
324,341,20,Inspiring work! Would love to collaborate.,2023-04-28 20:20:42
325,451,9,Love this! 🔥,2023-12-05 21:48:42
326,445,48,Love this! 🔥,2025-03-13 21:00:28
327,400,50,Can you share the process behind this?,2024-03-15 21:07:07
328,206,49,Inspiring work! Would love to collaborate.,2023-08-12 08:33:40
329,387,48,Great use of color and typography.,2026-10-07 08:10:56
330,241,37,How did you achieve this effect?,2024-11-22 12:42:55
331,478,41,Can you share the process behind this?,2023-06-02 08:11:57
332,366,25,Great use of color and typography.,2023-07-13 06:54:00
333,211,3,How did you achieve this effect?,2024-12-02 06:42:18
334,51,43,Can you share the process behind this?,2025-03-08 03:35:54
335,258,12,Clean and minimal. Perfect! ✨,2026-05-27 03:33:15
336,472,17,Clean and minimal. Perfect! ✨,2024-01-08 19:55:14
337,70,42,Love this! 🔥,2026-03-09 12:20:16
338,126,24,Inspiring work! Would love to collaborate.,2026-10-31 09:15:27
339,352,47,Can you share the process behind this?,2024-01-20 12:00:53
340,294,31,Inspiring work! Would love to collaborate.,2025-12-12 11:24:07
341,461,14,How did you achieve this effect?,2023-06-07 12:38:29
342,476,24,Great use of color and typography.,2023-02-22 17:09:05
343,62,47,Clean and minimal. Perfect! ✨,2024-12-18 02:27:40
344,331,29,The micro-interactions are so smooth!,2026-06-28 22:14:27
345,324,10,Love this! 🔥,2025-11-24 22:39:26
346,96,28,How did you achieve this effect?,2026-02-02 02:46:07
347,145,47,The micro-interactions are so smooth!,2025-12-28 16:51:25
348,20,2,Can you share the process behind this?,2025-11-06 23:51:12
349,72,44,Inspiring work! Would love to collaborate.,2024-01-10 02:22:04
350,315,44,Love this! 🔥,2026-07-28 05:51:55
351,155,32,Inspiring work! Would love to collaborate.,2024-01-29 10:29:23
352,176,24,The micro-interactions are so smooth!,2025-07-04 15:16:18
353,495,2,How did you achieve this effect?,2026-06-26 13:49:59
354,71,3,How did you achieve this effect?,2024-05-30 00:17:03
355,466,5,The micro-interactions are so smooth!,2023-01-13 08:50:16
356,425,12,How did you achieve this effect?,2023-05-16 03:18:59
357,349,16,Can you share the process behind this?,2024-08-17 21:15:54
358,308,16,Inspiring work! Would love to collaborate.,2026-11-09 20:39:44
359,485,10,Clean and minimal. Perfect! ✨,2024-02-08 17:55:09
360,201,9,How did you achieve this effect?,2024-04-18 15:35:30
361,15,12,Great use of color and typography.,2024-12-06 20:51:51
362,14,14,How did you achieve this effect?,2026-05-13 09:41:09
363,200,33,Clean and minimal. Perfect! ✨,2025-06-29 09:00:29
364,213,11,The micro-interactions are so smooth!,2023-11-01 20:18:30
365,103,37,Clean and minimal. Perfect! ✨,2023-06-28 09:17:29
366,337,17,How did you achieve this effect?,2026-10-26 04:06:37
367,73,20,Clean and minimal. Perfect! ✨,2023-05-04 14:56:29
368,5,48,Clean and minimal. Perfect! ✨,2024-04-18 03:40:10
369,163,24,Clean and minimal. Perfect! ✨,2024-09-12 23:52:38
370,174,29,Love this! 🔥,2026-11-21 10:38:14
371,263,22,Can you share the process behind this?,2026-06-09 12:17:07
372,383,2,Love this! 🔥,2024-03-06 05:59:45
373,57,23,Love this! 🔥,2023-05-08 23:16:02
374,125,21,Clean and minimal. Perfect! ✨,2024-09-11 04:29:50
375,468,35,Love this! 🔥,2024-09-09 08:34:50
376,110,1,The micro-interactions are so smooth!,2024-06-05 12:43:55
377,254,17,Great use of color and typography.,2024-10-13 10:23:21
378,67,27,Love this! 🔥,2024-10-25 08:41:07
379,99,19,The micro-interactions are so smooth!,2024-10-18 06:24:30
380,365,40,Can you share the process behind this?,2023-11-23 04:45:25
381,63,34,Clean and minimal. Perfect! ✨,2024-05-17 18:13:56
382,11,1,Can you share the process behind this?,2026-06-11 05:10:04
383,113,9,Love this! 🔥,2026-01-17 07:23:35
384,130,18,Inspiring work! Would love to collaborate.,2024-09-16 17:07:23
385,427,24,How did you achieve this effect?,2023-11-07 06:35:37
386,368,15,Inspiring work! Would love to collaborate.,2025-08-31 10:16:24
387,175,20,Can you share the process behind this?,2025-06-07 00:08:50
388,148,6,Inspiring work! Would love to collaborate.,2026-06-30 12:41:52
389,213,14,The micro-interactions are so smooth!,2024-05-26 06:36:28
390,398,50,Clean and minimal. Perfect! ✨,2025-10-03 03:39:56
391,148,28,Clean and minimal. Perfect! ✨,2023-05-11 09:10:01
392,62,10,How did you achieve this effect?,2024-01-28 03:13:32
393,306,13,Can you share the process behind this?,2024-11-03 20:42:54
394,394,10,Clean and minimal. Perfect! ✨,2024-03-15 14:17:46
395,348,24,Love this! 🔥,2024-12-23 08:03:30
396,442,48,Inspiring work! Would love to collaborate.,2023-04-26 11:45:48
397,252,21,How did you achieve this effect?,2025-07-11 20:55:28
398,156,32,Clean and minimal. Perfect! ✨,2025-02-12 00:25:41
399,228,11,How did you achieve this effect?,2025-08-03 16:59:24
400,110,45,Can you share the process behind this?,2025-03-23 00:48:40
401,204,32,Love this! 🔥,2023-12-27 15:22:56
402,459,45,Inspiring work! Would love to collaborate.,2023-03-16 02:58:19
403,181,34,Clean and minimal. Perfect! ✨,2023-05-25 02:37:15
404,22,28,How did you achieve this effect?,2024-05-15 11:50:01
405,421,11,Inspiring work! Would love to collaborate.,2024-10-01 01:31:23
406,169,43,The micro-interactions are so smooth!,2025-11-24 07:47:25
407,235,23,How did you achieve this effect?,2025-03-20 12:06:54
408,443,7,The micro-interactions are so smooth!,2023-11-23 12:21:50
409,95,37,How did you achieve this effect?,2024-12-26 15:39:36
410,457,50,Clean and minimal. Perfect! ✨,2024-06-13 22:41:44
411,331,38,The micro-interactions are so smooth!,2025-08-24 12:47:18
412,104,23,Inspiring work! Would love to collaborate.,2025-05-16 20:06:23
413,88,33,Can you share the process behind this?,2024-03-16 14:28:16
414,329,5,Inspiring work! Would love to collaborate.,2025-12-26 07:51:51
415,424,1,Great use of color and typography.,2025-02-22 00:04:15
416,387,35,How did you achieve this effect?,2023-04-20 17:14:35
417,9,33,How did you achieve this effect?,2023-09-18 05:17:43
418,77,12,Can you share the process behind this?,2026-07-08 13:45:27
419,326,22,How did you achieve this effect?,2023-07-15 15:30:40
420,49,47,Inspiring work! Would love to collaborate.,2024-06-02 11:26:30
421,201,28,How did you achieve this effect?,2025-10-27 16:07:00
422,45,31,Can you share the process behind this?,2026-12-25 06:48:39
423,232,50,Love this! 🔥,2026-05-09 02:56:47
424,191,29,Great use of color and typography.,2025-08-12 05:27:53
425,254,39,Inspiring work! Would love to collaborate.,2023-06-29 10:44:32
426,141,45,How did you achieve this effect?,2024-08-26 00:43:33
427,17,38,Clean and minimal. Perfect! ✨,2023-09-03 07:31:19
428,442,12,The micro-interactions are so smooth!,2024-04-03 22:10:47
429,291,44,Clean and minimal. Perfect! ✨,2023-10-08 07:03:31
430,122,7,Clean and minimal. Perfect! ✨,2026-08-05 00:38:55
431,119,6,How did you achieve this effect?,2023-03-09 20:06:18
432,145,34,Inspiring work! Would love to collaborate.,2024-05-20 00:43:20
433,79,38,Love this! 🔥,2026-04-16 08:04:48
434,237,29,Great use of color and typography.,2026-10-24 21:33:28
435,318,35,Clean and minimal. Perfect! ✨,2025-08-17 15:15:24
436,134,42,Great use of color and typography.,2026-12-06 07:58:17
437,240,33,Can you share the process behind this?,2024-07-12 22:33:30
