id,job_id,applicant_id,cover_letter,resume_url,applied_at
20,12,8,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_39.pdf,2023-07-17 22:21:23
21,15,39,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_28.pdf,2023-02-24 16:18:59
22,6,43,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_30.pdf,2024-01-20 04:08:30
23,12,16,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_41.pdf,2026-01-28 07:21:51
24,4,10,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_41.pdf,2023-02-21 09:41:07
25,4,6,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_18.pdf,2024-02-29 22:31:57
26,19,22,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_27.pdf,2024-11-08 00:28:13
27,5,17,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_20.pdf,2026-05-07 12:44:32
28,13,32,I'm excited to apply for this role. My portfolio showcases relevant experience in motion design.,https://cdn.dribbble.com/resumes/user_45.pdf,2023-09-15 10:24:11
29,16,38,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_44.pdf,2026-12-12 06:10:13
30,16,17,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_40.pdf,2024-10-04 20:39:54
31,14,49,I'm excited to apply for this role. My portfolio showcases relevant experience in UI design.,https://cdn.dribbble.com/resumes/user_1.pdf,2026-07-08 14:08:47
32,12,11,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_42.pdf,2024-06-04 05:54:52
33,14,3,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_20.pdf,2024-01-25 02:17:04
34,1,17,I'm excited to apply for this role. My portfolio showcases relevant experience in UI design.,https://cdn.dribbble.com/resumes/user_24.pdf,2024-02-29 10:49:47
35,1,13,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_14.pdf,2026-01-11 13:42:53
36,16,40,I'm excited to apply for this role. My portfolio showcases relevant experience in motion design.,https://cdn.dribbble.com/resumes/user_41.pdf,2023-10-24 18:14:11
37,10,7,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_44.pdf,2023-08-12 04:50:44
38,17,7,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_16.pdf,2024-08-04 00:27:49
39,4,26,I'm excited to apply for this role. My portfolio showcases relevant experience in UI design.,https://cdn.dribbble.com/resumes/user_46.pdf,2026-03-16 13:49:39
40,11,30,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_24.pdf,2026-02-17 08:08:08
